country_name,country_code,year,cost_healthy_diet_ppp,affordability_ratio,pct_cannot_afford_healthy_diet,veg_cost_share,population,gdp_per_capita,poverty_headcount_pct,food_insecurity_pct
Paraguay,PRY,2019,3.71,,25.0,,6515058.0,14149.5985227505,2.4,24.0
Poland,POL,2019,3.25,,12.2,,38225885.0,35882.3655065553,0.1,5.8
Portugal,PRT,2019,2.85,,15.1,,10343213.0,37865.5603564295,0.2,11.5
Rwanda,RWA,2019,2.99,,75.1,,12776103.0,2374.40565682007,,
Saudi Arabia,SAU,2019,2.48,,,,30472811.0,59560.2537904546,,
South Africa,ZAF,2019,2.94,,58.6,,59587885.0,13361.4851289112,,18.2
St. Kitts and Nevis,KNA,2019,3.65,,,,46952.0,32482.094417215,,21.1
Tajikistan,TJK,2019,,,,,9529966.0,3459.97365083434,,28.7
Viet Nam,VNM,2019,3.47,,8.4,,97173776.0,11029.2732083963,,6.5
West Bank and Gaza,PSE,2019,2.76,,6.6,,4957768.0,6508.44835080318,,27.8
Antigua and Barbuda,ATG,2020,4.67,,,,91846.0,22370.0918693813,,
Argentina,ARG,2020,,,,,45191965.0,22393.3479575353,2.2,36.9
Aruba,ABW,2020,4.29,,,,107400.0,28733.6045108643,,
Austria,AUT,2020,2.31,,2.5,,8921405.0,58523.0337816246,0.7,3.3
Botswana,BWA,2020,3.21,,59.5,,2365894.0,15292.2624673252,,55.6
British Virgin Islands,VGB,2020,3.74,,,,37135.0,,,
Cameroon,CMR,2020,3.1,,52.1,,26210558.0,4365.44704128392,,56.5
Colombia,COL,2020,3.15,,44.9,,50629997.0,15519.2101694656,15.8,30.5
Croatia,HRV,2020,3.53,,23.0,,3953958.0,31594.0082486835,0.4,11.4
Ethiopia,ETH,2020,3.52,,70.9,,118917671.0,2406.78938480121,,56.2
Guinea-Bissau,GNB,2020,3.24,,65.1,,2013255.0,2339.79956661743,,62.3
Montenegro,MNE,2020,3.43,,16.7,,607935.0,20624.7887553398,2.2,14.0
Niger,NER,2020,3.6,,85.4,,23717613.0,1486.34386700631,,50.2
Romania,ROU,2020,3.17,,36.2,,19392469.0,34193.845654499,2.4,13.4
Serbia,SRB,2020,3.86,,13.0,,8659229.0,21013.0562995823,2.0,14.1
Slovak Republic,SVK,2020,2.89,,23.0,,5455024.0,35327.9439165588,0.3,7.7
United Arab Emirates,ARE,2020,2.85,,2.9,,9448524.0,66790.6630877602,,
Uruguay,URY,2020,3.45,,37.6,,3398968.0,25725.2559304608,0.3,14.1
Uzbekistan,UZB,2020,3.97,,21.5,,33586372.0,8920.32011703083,,23.6
Algeria,DZA,2021,4.47,0.14,43.0,0.16,44761099.0,14496.8654697299,,19.4
"Bahamas, The",BHS,2021,4.28,,,,396373.0,31064.6822166194,,17.2
Bolivia,BOL,2021,3.96,0.37,8.9,0.18,11937360.0,11202.4409836707,3.1,
Bosnia and Herzegovina,BIH,2021,4.54,0.1,14.8,0.26,3244907.0,18286.6614977175,0.3,13.4
Haiti,HTI,2021,4.88,,82.5,,11374586.0,3116.56505397604,,82.6
Iceland,ISL,2021,2.77,0.05,2.1,0.29,372644.0,62720.7916832797,,6.1
Lao PDR,LAO,2021,4.33,0.38,56.6,0.17,7453194.0,8080.43553249923,,34.1
Luxembourg,LUX,2021,2.65,0.04,2.3,0.27,640274.0,136772.443753292,0.1,2.7
Mali,MLI,2021,3.16,0.31,59.4,0.15,22388630.0,2796.22793795431,36.1,20.6
Nigeria,NGA,2021,3.76,0.52,78.5,0.21,218529286.0,7588.47885587002,,69.7
North Macedonia,MKD,2021,3.84,0.08,18.5,0.2,1851108.0,22144.1924252732,,24.0
Sao Tome and Principe,STP,2021,3.8,0.2,45.5,0.29,221961.0,5732.69456061536,,54.6
Senegal,SEN,2021,3.04,0.29,47.9,0.21,17220867.0,4173.67741399617,17.9,30.3
South Sudan,SSD,2021,3.9,0.26,93.4,0.18,10865780.0,,,87.3
St. Lucia,LCA,2021,4.57,0.17,9.1,0.28,178522.0,19141.3272253168,,
Suriname,SUR,2021,5.44,0.13,27.3,0.27,617896.0,18458.234999681,,35.8
Tanzania,TZA,2021,2.79,1.1,73.6,0.08,62830412.0,3493.0830078125,,58.7
United Kingdom,GBR,2021,1.9,0.04,3.1,0.23,67668792.0,51840.4424245515,0.4,4.1
Bangladesh,BGD,2022,4.13,,43.3,,169384897.0,8449.20977931373,5.9,
Curacao,CUW,2022,4.45,,,,185345.0,28636.1483744106,,
Czechia,CZE,2022,3.42,,5.5,,10673213.0,52946.9660854462,0.0,10.0
Djibouti,DJI,2022,4.33,,55.8,,1137096.0,6620.28103140186,,49.2
Dominican Republic,DOM,2022,4.87,,23.9,,11230734.0,24621.9061494267,1.0,46.1
Fiji,FJI,2022,4.12,,63.8,,919422.0,12980.234013809,,29.2
Germany,DEU,2022,3.59,,5.0,,84086227.0,69669.6495435563,0.7,4.0
Ghana,GHA,2022,3.83,,64.7,,33149152.0,7207.01563645025,,42.4
Greece,GRC,2022,3.79,,25.5,,10412480.0,39447.813910406,0.6,6.4
Guatemala,GTM,2022,4.43,,49.2,,17847877.0,13008.2565459863,,52.4
"Hong Kong SAR, China",HKG,2022,4.65,,,,7465915.0,68590.1858741565,,
Indonesia,IDN,2022,4.39,,72.0,,278830529.0,14282.6654124401,7.9,4.7
"Korea, Rep.",KOR,2022,6.25,,5.9,,51782512.0,55509.3368761174,,5.7
Lesotho,LSO,2022,4.68,,76.5,,2286110.0,2760.87343646139,,57.4
Mexico,MEX,2022,3.78,,25.2,,128613117.0,23135.4931593441,2.3,20.7
Moldova,MDA,2022,3.42,,14.6,,3039985.0,16442.1034354056,0.0,24.7
Nepal,NPL,2022,3.88,,22.7,,29715436.0,5102.18358728663,2.4,37.0
Nicaragua,NIC,2022,4.59,,27.9,,6730654.0,7795.45560731699,,
Pakistan,PAK,2022,3.7,,64.5,,243700667.0,5919.33605935593,,41.7
Singapore,SGP,2022,3.31,,,,5649885.0,144417.646950009,,7.7
Spain,ESP,2022,3.45,,9.5,,47828382.0,51482.523634807,0.8,6.9
Syrian Arab Republic,SYR,2022,5.96,,70.7,,22462173.0,4905.15252202552,18.0,
