Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Barbados,BRB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,31.1,31.1,31.1,..,..,..
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18413.747563367,20025.9815543598,22301.5932411839,24872.3066744528,27611.1801135157,28424.9893656867,30859.5916206484,33166.3827902975,34715.9778689211
Belarus,BLR,"Population, total",SP.POP.TOTL,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9132629,9085991
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0,0,0,0,..,..,..,..,..
Belarus,BLR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,1.4,1.4,1.3,1.2,1.1,..,..
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,50256.0631772784,52466.7330784599,56712.469571978,56120.0958420466,60669.2137746534,68878.9167847285,72629.6179311762,74224.5510568017,74675.607672673
Belgium,BEL,"Population, total",SP.POP.TOTL,11375158,11427054,11488980,11538604,11586195,11680210,11779946,11858610,11941781
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.2,0.1,0.1,0.1,0,0,0.1,..,..
Belgium,BEL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,3.7,4.8,5.8,7.3,8.1,..,..
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9120.65338346029,9497.23480443418,10499.962073199,9638.89513695889,11716.3267818656,13459.0765078205,13741.2085585188,14367.3539278152,14965.7521203147
Belize,BLZ,"Population, total",SP.POP.TOTL,373202,380226,385829,390812,395346,402733,411106,417072,422924
Belize,BLZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,1,..,..,..,..,..,..,..
Belize,BLZ,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,39,42.3,45.5,..,..,..,..
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2885.89383987721,2965.30628143664,3148.97969597838,3244.58772756805,3464.2886286745,3843.54493453525,4133.3701351778,4441.00443511982,4816.87504692826
Benin,BEN,"Population, total",SP.POP.TOTL,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724,14814460
Benin,BEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,37.2,..,..,27.2,..,..,..,..
Benin,BEN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,66.3,65.8,64,61.9,62.7,63.3,65.6,..,..
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,85680.9701917217,85978.2177227009,90984.4576708318,85146.4006275696,92319.6714861222,104909.257552793,113596.12110365,118727.973294368,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,63578,63831,64107,64382,64648,64749,64698,64636,64555
Bermuda,BMU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11677.4142659974,11969.5615003305,12909.1009840399,12475.048003428,13458.812666743,15061.4232582306,16228.5169143762,17762.4053956096,19594.0028382994
Bhutan,BTN,"Population, total",SP.POP.TOTL,754335,759759,764824,770006,775442,780914,786385,791524,796682
Bhutan,BTN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2.6,..,..,..,..,0,..,..,..
Bhutan,BTN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10420.3923250933,10758.4075594003,11005.3541169156,9580.98962081658,11202.4409836707,12304.7789380156,12902.7509503368,12896.3370149215,12873.0394876629
Bolivia,BOL,"Population, total",SP.POP.TOTL,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315,12581843
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,6.4,4.7,3.1,4.2,3.1,3.3,2.8,2.1,..
Bolivia,BOL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13627.0836811249,14858.6247595644,16428.7132755213,16369.9392465531,18286.6614977175,21651.3043527017,23376.3069324282,25148.0128390147,25814.2641520511
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253,3140095
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,0.3,..,..,..,..
Bosnia and Herzegovina,BIH,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,8.7,9.2,10,12.6,13.4,13.3,9.9,..,..
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15700.6650479641,15785.819633781,15960.0156143903,15292.2624673252,17960.6254447437,19973.6684436048,21029.4218686605,20612.4785435561,20697.9104661898
Botswana,BWA,"Population, total",SP.POP.TOTL,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139,2562122
Botswana,BWA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Botswana,BWA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,53.4,53.1,54,55.6,56.3,55.4,53.9,..,..
