Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop]
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2023,YR2023,4.32,..,18.4,411106,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2024,YR2024,4.54,..,17.7,417072,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2025,YR2025,4.69,..,17.8,422924,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2017,YR2017,2.85,..,80.1,12039780,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2018,YR2018,2.87,..,71.3,12383347,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2019,YR2019,2.89,..,65.4,12726755,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2020,YR2020,2.91,..,63.7,13070169,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2021,YR2021,3.07,0.26,62.2,13413417,..,0.19
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2022,YR2022,3.25,..,58.8,13759501,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2023,YR2023,3.3,..,56.3,14111034,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2024,YR2024,3.39,..,54.1,14462724,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Benin,BEN,2025,YR2025,3.58,..,53.5,14814460,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2017,YR2017,2.88,..,..,63578,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2018,YR2018,2.94,..,..,63831,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2019,YR2019,3.12,..,..,64107,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2020,YR2020,3.33,..,..,64382,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2021,YR2021,3.55,0.19,..,64648,..,0.3
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2022,YR2022,3.96,..,..,64749,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2023,YR2023,4.31,..,..,64698,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2024,YR2024,4.54,..,..,64636,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bermuda,BMU,2025,YR2025,4.78,..,..,64555,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2017,YR2017,4.13,..,28.8,754335,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2018,YR2018,4.32,..,14.5,759759,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bhutan,BTN,2019,YR2019,4.44,..,17.8,764824,..,..
